Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description,directions
Toffee Blondies,5.0,"Yum, these toffee blondies are one of my favorites treats out there. For those who don't know, blondies are 'white' brownies. But just as delicious! (Maybe a little more?!)",10 mins,25 mins,35 mins,16,"1 cup packed brown sugar | ½ cup butter | 2 eggs | 2 cups all-purpose flour | 1 teaspoon baking powder | ½ teaspoon baking soda | ¼ teaspoon salt | 1 cup toffee baking bits | 1 cup chocolate chips | 1 tablespoon toffee baking bits, or to taste",https://www.allrecipes.com/thmb/coCxxGVXZnYgPmpBOyFiboedVyA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7002381-2e08f11825e648e788c94dc21998576d.jpg,10.0,25.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Preheat oven to 350*F.
- Line a 13x9"" baking pan with parchment paper or lightly coat the bottom with non-stick cooking spray.
- In a small bowl, whisk together the flour, baking powder, and salt.
- In another bowl, cream together the butter and both sugars until light and fluffy.
- Add the eggs, one at a time, beating well after each additon.
- Blend in the vanilla, then the flour mixture; do not overmix.
- Gently fold in 3/4 cup of the toffee bits.
- Spread batter evenly in the prepared pan; sprinkle with the remaining 2 Tbsp.
- toffee bits.
- Bake for 25-30 minutes, or until a toothpick inserted in the center comes out clean.
- Cool in pan on a wire rack before cutting."
Air Fryer Buffalo Chicken Wings from Frozen,4.0,Forget to thaw those wings and in a pinch? No problem. Here is my how-to cook chicken wings from frozen to the table in under 40 minutes with only two ingredients.,5 mins,40 mins,45 mins,2,"1 pound frozen, ready-to-cook chicken wings | ½ (8 ounce) bottle Buffalo wing sauce",https://www.allrecipes.com/thmb/IkVCTBfekN9r7-WMTYnn4M111XE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1645498126wings20-2000-265fd2d8b5de413fb50c7f9941b3dca6.jpg,5.0,40.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",
Buffalo Chicken Mac and Cheese,4.6,"This Buffalo chicken mac and cheese recipe was first introduced to me at my local ballpark, and I thought it was a great idea! This is what I whipped up. Serve with celery sticks and beer. Let me know what you think.",15 mins,30 mins,45 mins,8,"1 (16 ounce) package elbow macaroni | 1 rotisserie-roasted chicken | 6 tablespoons butter | 6 tablespoons all-purpose flour | 3 cups milk | 1 pinch ground black pepper | 2 cups shredded Cheddar cheese | 2 cups shredded Monterey Jack cheese | ½ cup hot sauce (such as Frank's® Redhot®), or more to taste | ½ cup crumbled gorgonzola cheese",,15.0,30.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Bring a large pot of lightly salted water to a boil. Cook macaroni in the boiling water, stirring occasionally until tender yet firm to the bite, 8 minutes. Drain.
- Cut wings and legs off rotisserie chicken. Skin and bone wings and legs; chop or shred dark meat into bite-size pieces.
- Melt butter in a large Dutch oven over medium heat. Whisk in flour gradually until a thick paste forms. Cook until golden, about 1 minute. Pour in milk, whisking constantly, until thickened and bubbling, about 5 minutes. Continue to cook until sauce is smooth, about 1 minute more. Reduce heat and season sauce with black pepper.
- Stir Cheddar and Monterey Jack cheese into the sauce until melted and combined. Stir in hot sauce, adjusting to reach desired level of spiciness. Add blue cheese, chicken, and macaroni; mix well to combine."
Christmas Mince Pies,5.0,Tangy mince pies with a hint of orange in the pastry.,25 mins,17 mins,1 hr 52 mins,12,"2 ¼ cups all-purpose flour | 1 pinch salt | ½ cup butter, cubed | ¼ cup vegetable shortening, cubed | ¾ cup white sugar | 2 oranges, zested | 1 teaspoon vanilla extract | ¼ cup fresh orange juice, chilled | 7 ounces prepared mincemeat filling, or as needed | 1 tablespoon confectioners' sugar",,25.0,17.0,112.0,70.0,E,Long Wait,Wait time > 30 min,"- Combine flour and salt in a large bowl. Add butter and shortening; rub in with cold fingers until mixture resembles fine bread crumbs. Mix in sugar and orange zest thoroughly. Mix in vanilla extract. Stir in enough orange juice to bring dough together.
- Knead dough briefly to form a smooth ball. Wrap in plastic wrap; refrigerate until firm, at least 1 hour.
- Preheat oven to 350 degrees F (175 degrees C).
- Roll dough out on a lightly floured work surface to a thickness of 1/8 inch. Cut out 12 circles using a 2 1/2-inch cutter and 12 circles using a 1-inch cutter.
- Line 12 mini tart pans or a muffin tin with the 2 1/2-inch dough circles. Cover dough with about 1 tablespoon mincemeat filling. Lay 1-inch circles on top.
- Bake in the preheated oven until tops are pale golden brown, 17 to 21 minutes. Cool slightly on wire racks, about 10 minutes. Dust with confectioners' sugar before serving."
Garlic Quinoa,4.5,This basic garlic quinoa is a quick and easy recipe we use in our house instead of rice as a great side.,5 mins,25 mins,35 mins,4,1 tablespoon butter | 1 tablespoon minced garlic | 2 cups chicken broth | 1 cup quinoa,https://www.allrecipes.com/thmb/9VTLiYTb2M-MnkhJ46CGcu7Ha6I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1399317-73d707a5926e458bbe295317a5e86889.jpg,5.0,25.0,35.0,5.0,D,Short Wait,Wait time 1-30 min,"- Melt butter in a saucepan over medium heat. Cook and stir garlic in melted butter until just browned, about 5 minutes.
- Pour chicken broth into the saucepan; add quinoa and stir. Bring the mixture to a boil, reduce heat to low, cover, and simmer until liquid is absorbed, about 15 minutes.
- Remove saucepan from heat and rest mixture 5 minutes before fluffing with a fork."
Skillet Strawberry Shortcake,4.8,"This fuss-free strawberry shortcake made in a pan eliminates much of the hassle and mess of traditional strawberry shortcakes. Instead of flouring the counter and rolling and cutting out individual shortcakes, you'll bake one giant skillet biscuit-like cake that's topped with macerated strawberries and whipped cream. Perfect for celebrating the arrival of warmer, sunnier days.",40 mins,25 mins,1 hr 5 mins,12,"3 cups all-purpose flour | ½ cup white sugar | 1 tablespoon baking powder | 1 teaspoon salt | 1 cup cold buttermilk | 1 large egg yolk | 1 teaspoon vanilla extract | 12 tablespoons cold unsalted butter, cubed | ½ cup sliced strawberries | 4 cups ripe strawberries, hulled and quartered | 2 tablespoons white sugar | 1 medium lemon, zested | 1 cup heavy whipping cream | 1 tablespoon white sugar, or more to taste | ¼ teaspoon vanilla extract",https://www.allrecipes.com/thmb/lNQvwHRWL8PHdwmPKD2yG_7EYuM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9110310-bdc80dd8796845b8884241cadf747756.jpg,40.0,25.0,65.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- In a medium bowl, combined thawed strawberries, 1/2 cup of the sugar and orange liqueur.
- Let stand for 1 hour to allow flavors to blend, stirring occasionally.
- Preheat grill to medium-high heat.
- In a small bowl, combine the remaining 1/4 sugar and the cinnamon.
- Remove biscuits from the can and separate.
- Roll each biscuit in the cinnamon-sugar mixture.
- Coat a cast iron skillet with butter or cooking spray.
- Add strawberry-sugar mixture.
- Arrange biscuits over strawberries.
- Place skillet on grill.
- Cover grill and bake for 15 to 20 minutes or until bubbly.
- Remove from grill; cool slightly."
Old Time Soft Sugar Cookies,4.3,Delicious and easy drop sugar cookie!,10 mins,15 mins,30 mins,24,½ cup shortening | 1 cup white sugar | 1 egg | ¾ cup buttermilk | 1 teaspoon vanilla extract | 2 cups all-purpose flour | ½ teaspoon baking soda | ½ teaspoon salt,https://www.allrecipes.com/thmb/11beUV5EkjavQv9qvKqeRI4PRPw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/583400-old-time-soft-sugar-cookies-Pam-Ziegler-Lutz-4x3-1-574c1291079c441abee80e4b5ee4fffd.jpg,10.0,15.0,30.0,5.0,D,Short Wait,Wait time 1-30 min,"- Cream together the shortening and the sugar. Stir in the egg, buttermilk and vanilla.
- Combine the flour, baking soda and salt. Add the flour mixture to the creamed mixture and stir to combine. Chill dough in the refrigerator for 1 hour. Drop mixture by rounded teaspoons 2 inches apart on a lightly greased baking sheet. If desired sprinkle tops of cookies with white sugar before baking.
- Preheat oven to 400 degrees F (205 degrees C).
- Bake at 400 degrees F (205 degrees C) for 7 to 9 minutes or until set."
Asian Broccoli Slaw,4.9,"This Asian broccoli slaw is a delicious, tangy side dish. Allow to sit in the fridge overnight.",20 mins,5 mins,25 mins,8,"2 (3 ounce) packages any flavor ramen noodles | ½ cup sunflower seeds | 1 (16 ounce) package broccoli coleslaw mix | ½ cup chopped fresh pineapple | ½ cup chopped fresh cilantro (Optional) | 2 green onions (white and green parts), chopped, or more to taste | ½ cup white sugar | ½ cup cider vinegar | ½ cup olive oil | ½ teaspoon sesame oil | ½ teaspoon freshly ground black pepper | 2 pinches cayenne pepper, or to taste (Optional)",https://www.allrecipes.com/thmb/S1S5it4H8jtNlxnPo1BZBxDLk1c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6611288-4081a72315664c21bf6654669164db95.jpg,20.0,5.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Combine the cider vinegar, brown sugar, oil and one packet of the seasoning mix from the ramen noodles and let sit while preparing noodles.
- Crush the ramen noodles by placing in zip-lock bag and roll with rolling pin or anything that will work - this is very easy to do.
- ""Lightly"" brown the noodles and the slivered almonds in frying pan with two tablespoons of olive or canola oil - do not scorch - take off heat and cool.
- Place broccoli in large bowl and pour cooled noodles over broccoli with sunflower seeds and other ingredients. This gets better the longer it sits but still good when it is freshly made.
- Garnish with green onions."
Beef and Cheese Ball,4.4,This is a scrum-didley-umptious cheeseball made with cream cheese and dried beef.,5 mins,,5 mins,10,"1 (8 ounce) package cream cheese, softened | 5 ounces dried beef | 1 small white onion, chopped | 1 small finely chopped green bell pepper | 1 tablespoon Worcestershire sauce | 1 teaspoon onion juice",https://www.allrecipes.com/thmb/aAVDLOsqwv05yYEtNPvagpfD4e0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1600844-3ff2ea33a2c34eb48056bcf33a76d947.jpg,5.0,,5.0,0.0,,,,"- With cream cheese at room temperature, add Worcestershire sauce, Accent, chopped onion and 1 package beef (chopped).
- Line bowl with remaining beef.
- Spoon mixture into bowl and refrigerate.
- Invert onto serving dish."
Feijoada (Brazilian Black Bean Stew),4.7,"This feijoada recipe is my version of a traditional Brazilian black bean stew that maintains the rich flavors famous in Brazil. Excellent served over brown rice. Additional meats, including pork loin or smoked sausage, may be added if desired.",8 hrs 30 mins,2 hrs 30 mins,11 hrs,8,"1 tablespoon olive oil | 1 ½ cups chopped onion, divided | ½ cup green onions, chopped | 1 clove garlic, chopped | 1 (12 ounce) package dry black beans, soaked overnight | 2 smoked ham hocks | 8 ounces diced ham | ½ pound thickly sliced bacon, diced | 2 bay leaves, crushed | ⅛ teaspoon ground coriander | salt and pepper to taste | ½ cup chopped fresh cilantro (Optional) | ¼ cup chopped fresh parsley (Optional)",https://www.allrecipes.com/thmb/d5y6K6WImvsfvmAxq5FqLs9uR_0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-139208-Feijoada-DDMFS-4x3-74a3fbca83d947f9b6f330ef01999c89.jpg,510.0,150.0,660.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Heat the oil in a large pot or Dutch oven. Add 3/4 cup of chopped onion, green onions, and garlic; cook and stir until softened, about 4 minutes. Pour in the soaked beans and fill with enough water to cover beans by 3 inches. Bring to a boil, then reduce heat to medium-low, and simmer uncovered for 2 hours, or until tender.
- While beans are cooking, place ham hocks in smaller pot with 1/4 cup of the chopped onion. Cover with water and simmer, until meat pulls off of the bone easily, about 1 hour. Drain and add to the beans.
- Preheat oven to 375 degrees F (190 degrees C). Place ham, bacon, and remaining onion in a baking dish. Bake 15 minutes or until mixture is crispy.
- Drain the bacon and ham mixture, and add to the beans. Season with bay leaves, coriander, salt and pepper. Simmer uncovered 30 minutes more. Stir in chopped cilantro and parsley just before serving."
Lemon Cheesecake Mousse,4.4,"Creamy, thick, and tangy mousse. This mousse is a delight for special occasions and individual desserts. This can be made up to 2 days in advance of serving.",30 mins,,1 hr 30 mins,12,"1 tablespoon butter, melted | 1 cup graham cracker crumbs | ½ cup white sugar | ⅔ cup lemon juice, or more to taste | 2 (8 ounce) packages cream cheese, or as needed | 1 (14 ounce) can sweetened condensed milk | 2 cups heavy cream | 1 teaspoon lemon zest, or to taste (Optional) | 3 lemon slices, quartered (Optional) | 1 small bunch mint leaves, or as needed (Optional)",https://www.allrecipes.com/thmb/CM0yQOFDBMm7np1HJCphHUTKn8A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3726708-16aebd235c424cc9ad60bc919d1a87bc.jpg,30.0,,90.0,60.0,,,,
Shredded Pork Fajita Tacos,4.3,A very quick and easy recipe. I actually stumbled across this by using leftovers. My family of 7 likes it so much that we have it a few times a month. Even the youngest child can join in the preparation by getting the toppings ready. A wonderful use of any type of leftover meat.,10 mins,14 mins,24 mins,6,"¼ cup butter | 1 onion, chopped | 1 green bell pepper, chopped | 1 (16 ounce) package shredded pork | ¼ cup water | 1 (1 ounce) package fajita seasoning | 6 (6 inch) corn tortillas | 1 cup shredded lettuce | 1 cup tomatoes, chopped | 1 cup Shredded Cheddar cheese | 1 (8 ounce) jar salsa (Optional) | 1 (8 ounce) carton sour cream (Optional)",https://www.allrecipes.com/thmb/1Vmm3itiWz7llcByRIcRXMYkgdA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5099465-fe2d13f3a5464c1cb9d4598fee977e0e.jpg,10.0,14.0,24.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Heat butter in a large skillet over medium heat until melted, 3 to 5 minutes. Stir in onion and green pepper; cook and stir until softened, about 5 minutes. Add shredded pork, water, and fajita seasoning; cook and stir until heated through, about 5 minutes.
- Place tortillas in a skillet over low heat until warmed, 1 to 2 minutes. Remove tortillas from the skillet. Spoon shredded pork mixture into tortillas; top with lettuce, tomato, Cheddar cheese, salsa, and sour cream."
Hawaiian Pineapple Upside-Down Cake,4.8,"This pineapple upside-down cake recipe features coconut, banana and macadamia nuts for a taste of the tropics. On my way to a Hawaiian-themed party, all I could think of was pineapple upside-down cake. The recipes did not seem Hawaiian enough. I can't tell you how many people raved at the party. The whole cake is gone.",20 mins,45 mins,1 hr 5 mins,12,"½ cup butter, melted | 1 ½ cups brown sugar | 8 canned sliced pineapple rings (drain and reserve juice) | ½ cup chopped macadamia nuts | ½ cup flaked coconut, divided | 2 canned sliced pineapple rings, chopped | 12 maraschino cherries | ½ cup reserved pineapple juice | ½ cup coconut water | ⅓ cup vegetable oil | 3 eggs | 1 ripe banana, mashed | 1 (15.25 ounce) package white cake mix",https://www.allrecipes.com/thmb/k0gBRrm2OI2n6IK3VJk5f2nN-GM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6946765-61e298df78d64b7c956f210b282fc2e5.jpg,20.0,45.0,65.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",
Polish Poppy Seed Cake,5.0,"This Polish, poppy seed-rich cake recipe is usually served for special occasions, such as Christmas and Easter, but it's wonderful any time. The dish's shortcrust base is topped with a poppy seed mixture, then glazed. Unique, delicious, and quite easy to make!",25 mins,1 hr,1 day 5 hrs 25 mins,15,"3 ½ cups poppy seeds | boiling water to cover | 5 eggs, separated | 9 tablespoons margarine | 1 cup white sugar | 2 apple - peeled, cored, and grated | ½ cup chopped walnuts | ½ cup raisins | 3 tablespoons honey | 3 tablespoons dry bread crumbs | 1 teaspoon almond extract | 1 ½ cups all-purpose flour | ¾ cup margarine | ⅓ cup white sugar | 1 large egg | 1 teaspoon baking powder | 2 cups confectioners' sugar | ⅓ cup boiling water",https://www.allrecipes.com/thmb/gwwC80dvJA7RfghdVbFlu0AUd9k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4543037-1725000dab7047b692441dc372d46300.jpg,25.0,60.0,325.0,240.0,E,Long Wait,Wait time > 30 min,"- Soak poppy seed overnight in scalded milk.
- Cream sugar and shortening until smooth.
- Add beaten egg yolk.
- Add poppy seed mixture alternately with sifted dry ingredients.
- Fold in the beaten egg whites.
- Bake in a greased Bundt pan in a 350° oven for 30 minutes.
- Sprinkle with powdered sugar when cooled completely."
