Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description
Toffee Blondies,5.0,"Yum, these toffee blondies are one of my favorites treats out there. For those who don't know, blondies are 'white' brownies. But just as delicious! (Maybe a little more?!)",10 mins,25 mins,35 mins,16,"1 cup packed brown sugar | ½ cup butter | 2 eggs | 2 cups all-purpose flour | 1 teaspoon baking powder | ½ teaspoon baking soda | ¼ teaspoon salt | 1 cup toffee baking bits | 1 cup chocolate chips | 1 tablespoon toffee baking bits, or to taste",https://www.allrecipes.com/thmb/coCxxGVXZnYgPmpBOyFiboedVyA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7002381-2e08f11825e648e788c94dc21998576d.jpg,10.0,25.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Air Fryer Buffalo Chicken Wings from Frozen,4.0,Forget to thaw those wings and in a pinch? No problem. Here is my how-to cook chicken wings from frozen to the table in under 40 minutes with only two ingredients.,5 mins,40 mins,45 mins,2,"1 pound frozen, ready-to-cook chicken wings | ½ (8 ounce) bottle Buffalo wing sauce",https://www.allrecipes.com/thmb/IkVCTBfekN9r7-WMTYnn4M111XE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1645498126wings20-2000-265fd2d8b5de413fb50c7f9941b3dca6.jpg,5.0,40.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Buffalo Chicken Mac and Cheese,4.6,"This Buffalo chicken mac and cheese recipe was first introduced to me at my local ballpark, and I thought it was a great idea! This is what I whipped up. Serve with celery sticks and beer. Let me know what you think.",15 mins,30 mins,45 mins,8,"1 (16 ounce) package elbow macaroni | 1 rotisserie-roasted chicken | 6 tablespoons butter | 6 tablespoons all-purpose flour | 3 cups milk | 1 pinch ground black pepper | 2 cups shredded Cheddar cheese | 2 cups shredded Monterey Jack cheese | ½ cup hot sauce (such as Frank's® Redhot®), or more to taste | ½ cup crumbled gorgonzola cheese",,15.0,30.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Christmas Mince Pies,5.0,Tangy mince pies with a hint of orange in the pastry.,25 mins,17 mins,1 hr 52 mins,12,"2 ¼ cups all-purpose flour | 1 pinch salt | ½ cup butter, cubed | ¼ cup vegetable shortening, cubed | ¾ cup white sugar | 2 oranges, zested | 1 teaspoon vanilla extract | ¼ cup fresh orange juice, chilled | 7 ounces prepared mincemeat filling, or as needed | 1 tablespoon confectioners' sugar",,25.0,17.0,112.0,70.0,E,Long Wait,Wait time > 30 min
Garlic Quinoa,4.5,This basic garlic quinoa is a quick and easy recipe we use in our house instead of rice as a great side.,5 mins,25 mins,35 mins,4,1 tablespoon butter | 1 tablespoon minced garlic | 2 cups chicken broth | 1 cup quinoa,https://www.allrecipes.com/thmb/9VTLiYTb2M-MnkhJ46CGcu7Ha6I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1399317-73d707a5926e458bbe295317a5e86889.jpg,5.0,25.0,35.0,5.0,D,Short Wait,Wait time 1-30 min
Skillet Strawberry Shortcake,4.8,"This fuss-free strawberry shortcake made in a pan eliminates much of the hassle and mess of traditional strawberry shortcakes. Instead of flouring the counter and rolling and cutting out individual shortcakes, you'll bake one giant skillet biscuit-like cake that's topped with macerated strawberries and whipped cream. Perfect for celebrating the arrival of warmer, sunnier days.",40 mins,25 mins,1 hr 5 mins,12,"3 cups all-purpose flour | ½ cup white sugar | 1 tablespoon baking powder | 1 teaspoon salt | 1 cup cold buttermilk | 1 large egg yolk | 1 teaspoon vanilla extract | 12 tablespoons cold unsalted butter, cubed | ½ cup sliced strawberries | 4 cups ripe strawberries, hulled and quartered | 2 tablespoons white sugar | 1 medium lemon, zested | 1 cup heavy whipping cream | 1 tablespoon white sugar, or more to taste | ¼ teaspoon vanilla extract",https://www.allrecipes.com/thmb/lNQvwHRWL8PHdwmPKD2yG_7EYuM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9110310-bdc80dd8796845b8884241cadf747756.jpg,40.0,25.0,65.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Old Time Soft Sugar Cookies,4.3,Delicious and easy drop sugar cookie!,10 mins,15 mins,30 mins,24,½ cup shortening | 1 cup white sugar | 1 egg | ¾ cup buttermilk | 1 teaspoon vanilla extract | 2 cups all-purpose flour | ½ teaspoon baking soda | ½ teaspoon salt,https://www.allrecipes.com/thmb/11beUV5EkjavQv9qvKqeRI4PRPw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/583400-old-time-soft-sugar-cookies-Pam-Ziegler-Lutz-4x3-1-574c1291079c441abee80e4b5ee4fffd.jpg,10.0,15.0,30.0,5.0,D,Short Wait,Wait time 1-30 min
Asian Broccoli Slaw,4.9,"This Asian broccoli slaw is a delicious, tangy side dish. Allow to sit in the fridge overnight.",20 mins,5 mins,25 mins,8,"2 (3 ounce) packages any flavor ramen noodles | ½ cup sunflower seeds | 1 (16 ounce) package broccoli coleslaw mix | ½ cup chopped fresh pineapple | ½ cup chopped fresh cilantro (Optional) | 2 green onions (white and green parts), chopped, or more to taste | ½ cup white sugar | ½ cup cider vinegar | ½ cup olive oil | ½ teaspoon sesame oil | ½ teaspoon freshly ground black pepper | 2 pinches cayenne pepper, or to taste (Optional)",https://www.allrecipes.com/thmb/S1S5it4H8jtNlxnPo1BZBxDLk1c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6611288-4081a72315664c21bf6654669164db95.jpg,20.0,5.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Beef and Cheese Ball,4.4,This is a scrum-didley-umptious cheeseball made with cream cheese and dried beef.,5 mins,,5 mins,10,"1 (8 ounce) package cream cheese, softened | 5 ounces dried beef | 1 small white onion, chopped | 1 small finely chopped green bell pepper | 1 tablespoon Worcestershire sauce | 1 teaspoon onion juice",https://www.allrecipes.com/thmb/aAVDLOsqwv05yYEtNPvagpfD4e0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1600844-3ff2ea33a2c34eb48056bcf33a76d947.jpg,5.0,,5.0,0.0,,,
Feijoada (Brazilian Black Bean Stew),4.7,"This feijoada recipe is my version of a traditional Brazilian black bean stew that maintains the rich flavors famous in Brazil. Excellent served over brown rice. Additional meats, including pork loin or smoked sausage, may be added if desired.",8 hrs 30 mins,2 hrs 30 mins,11 hrs,8,"1 tablespoon olive oil | 1 ½ cups chopped onion, divided | ½ cup green onions, chopped | 1 clove garlic, chopped | 1 (12 ounce) package dry black beans, soaked overnight | 2 smoked ham hocks | 8 ounces diced ham | ½ pound thickly sliced bacon, diced | 2 bay leaves, crushed | ⅛ teaspoon ground coriander | salt and pepper to taste | ½ cup chopped fresh cilantro (Optional) | ¼ cup chopped fresh parsley (Optional)",https://www.allrecipes.com/thmb/d5y6K6WImvsfvmAxq5FqLs9uR_0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-139208-Feijoada-DDMFS-4x3-74a3fbca83d947f9b6f330ef01999c89.jpg,510.0,150.0,660.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Lemon Cheesecake Mousse,4.4,"Creamy, thick, and tangy mousse. This mousse is a delight for special occasions and individual desserts. This can be made up to 2 days in advance of serving.",30 mins,,1 hr 30 mins,12,"1 tablespoon butter, melted | 1 cup graham cracker crumbs | ½ cup white sugar | ⅔ cup lemon juice, or more to taste | 2 (8 ounce) packages cream cheese, or as needed | 1 (14 ounce) can sweetened condensed milk | 2 cups heavy cream | 1 teaspoon lemon zest, or to taste (Optional) | 3 lemon slices, quartered (Optional) | 1 small bunch mint leaves, or as needed (Optional)",https://www.allrecipes.com/thmb/CM0yQOFDBMm7np1HJCphHUTKn8A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3726708-16aebd235c424cc9ad60bc919d1a87bc.jpg,30.0,,90.0,60.0,,,
Shredded Pork Fajita Tacos,4.3,A very quick and easy recipe. I actually stumbled across this by using leftovers. My family of 7 likes it so much that we have it a few times a month. Even the youngest child can join in the preparation by getting the toppings ready. A wonderful use of any type of leftover meat.,10 mins,14 mins,24 mins,6,"¼ cup butter | 1 onion, chopped | 1 green bell pepper, chopped | 1 (16 ounce) package shredded pork | ¼ cup water | 1 (1 ounce) package fajita seasoning | 6 (6 inch) corn tortillas | 1 cup shredded lettuce | 1 cup tomatoes, chopped | 1 cup Shredded Cheddar cheese | 1 (8 ounce) jar salsa (Optional) | 1 (8 ounce) carton sour cream (Optional)",https://www.allrecipes.com/thmb/1Vmm3itiWz7llcByRIcRXMYkgdA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5099465-fe2d13f3a5464c1cb9d4598fee977e0e.jpg,10.0,14.0,24.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Hawaiian Pineapple Upside-Down Cake,4.8,"This pineapple upside-down cake recipe features coconut, banana and macadamia nuts for a taste of the tropics. On my way to a Hawaiian-themed party, all I could think of was pineapple upside-down cake. The recipes did not seem Hawaiian enough. I can't tell you how many people raved at the party. The whole cake is gone.",20 mins,45 mins,1 hr 5 mins,12,"½ cup butter, melted | 1 ½ cups brown sugar | 8 canned sliced pineapple rings (drain and reserve juice) | ½ cup chopped macadamia nuts | ½ cup flaked coconut, divided | 2 canned sliced pineapple rings, chopped | 12 maraschino cherries | ½ cup reserved pineapple juice | ½ cup coconut water | ⅓ cup vegetable oil | 3 eggs | 1 ripe banana, mashed | 1 (15.25 ounce) package white cake mix",https://www.allrecipes.com/thmb/k0gBRrm2OI2n6IK3VJk5f2nN-GM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6946765-61e298df78d64b7c956f210b282fc2e5.jpg,20.0,45.0,65.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Polish Poppy Seed Cake,5.0,"This Polish, poppy seed-rich cake recipe is usually served for special occasions, such as Christmas and Easter, but it's wonderful any time. The dish's shortcrust base is topped with a poppy seed mixture, then glazed. Unique, delicious, and quite easy to make!",25 mins,1 hr,1 day 5 hrs 25 mins,15,"3 ½ cups poppy seeds | boiling water to cover | 5 eggs, separated | 9 tablespoons margarine | 1 cup white sugar | 2 apple - peeled, cored, and grated | ½ cup chopped walnuts | ½ cup raisins | 3 tablespoons honey | 3 tablespoons dry bread crumbs | 1 teaspoon almond extract | 1 ½ cups all-purpose flour | ¾ cup margarine | ⅓ cup white sugar | 1 large egg | 1 teaspoon baking powder | 2 cups confectioners' sugar | ⅓ cup boiling water",https://www.allrecipes.com/thmb/gwwC80dvJA7RfghdVbFlu0AUd9k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4543037-1725000dab7047b692441dc372d46300.jpg,25.0,60.0,325.0,240.0,E,Long Wait,Wait time > 30 min
Best Butternut Squash Soup Ever,4.5,This butternut squash made with chicken broth is slightly sweet. It's one of the best soups I've had in a while!,15 mins,20 mins,35 mins,4,"1 ½ tablespoons butter | ½ onion, sliced | 2 cloves garlic | 2 sprigs fresh thyme | ½ butternut squash - peeled, seeded, and cut into 1-inch cubes | 4 cups chicken broth | ½ cube chicken bouillon | 1 pinch ground cumin | 1 pinch ground allspice | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/QqHFpD03N4TN6UidUCNGFE6HM90=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9429602-c21492bb7d0d44a792a5b27c70fd3937.jpg,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Shiitake Mushroom Ceviche,5.0,"This vegan ceviche is made with shiitake mushrooms, olives, and tomato. Just like when making seafood ceviche, the ingredients are marinated in a citrus sauce.",15 mins,5 mins,50 mins,2,"1 (8 ounce) package fresh shiitake mushrooms | 1 tomato, chopped | ½ onion, chopped | 9 pitted green olives, chopped | ½ teaspoon dried oregano | ½ orange, juiced | 1 lime, juiced | 2 tablespoons ketchup | 1 tablespoon Mexican-style hot sauce (such as Cholula®), or to taste | 1 ½ teaspoons apple cider vinegar | salt to taste",https://www.allrecipes.com/thmb/9uU6otA7ygBg3nLstU7rMjsp89A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5561454-22abc94b0b6a4e8aabaf69b5140ccd4a.jpg,15.0,5.0,50.0,30.0,D,Short Wait,Wait time 1-30 min
Pomegranate Stew with Chicken (Khoresh Fesenjan),4.2,"Chicken, onions, finely processed walnuts, and pomegranate juice are simmered to perfection. The sauce should be as thick as a good chili. Serve with saffron steamed basmati rice. Enjoy! If you prefer, substitute angelica powder for cardamom; instead of pomegranate juice, you can substitute 1/2 cup pomegranate paste diluted in 2 cups water.",15 mins,2 hrs 30 mins,2 hrs 45 mins,6,"2 tablespoons olive oil | 1 ½ pounds chicken legs, cut up | 1 white onion, thinly sliced | ½ pound walnuts, toasted and finely ground in a food processor | 1 teaspoon salt | 4 cups pomegranate juice | ½ teaspoon cardamom (Optional) | 2 tablespoons sugar (Optional)",https://www.allrecipes.com/thmb/i4zJSe3VyGcvvHCpmiGaz9tJl0g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8815-856fad791c744317aaecd2701c66d0ef.jpg,15.0,150.0,165.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Mom's Nova Scotia Seafood Chowder,4.8,"Being from the Easy Coast, I've tried a lot of different chowders; however, my Mom's seafood chowder recipe is the best! She makes a huge pot every Christmas Eve and all of it is gone by Christmas night. Although it is not very healthy, it is an awesome treat once in awhile for any of us that love seafood!",25 mins,1 hr 5 mins,1 hr 30 mins,20,"2 large onions, diced | 3 carrots, sliced | 7 potatoes, cubed | 1 pound salmon, cut into chunks | 1 pound cod, cut into chunks | 1 pound scallops | 1 pound shrimp, peeled and deveined | 6 ounces cooked lobster meat, shredded | 1 (6 ounce) can crabmeat, drained and flaked | 2 (6.5 ounce) cans chopped clams, drained | 4 ¼ cups heavy whipping cream | 2 cups half-and-half | 1 ½ cups butter, cut into chunks | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/5H8a7iKnOc6M14gB-HcI8jDNyKg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/228991-moms-nova-scotia-seafood-chowder-VAT-003-4x3-01pastabowl-cf661c8bca7546e0bfc9cc6245cb796e.jpg,25.0,65.0,90.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Cottage Cheese Chicken Enchiladas,4.6,"Ever tried chicken enchiladas made with cottage cheese? Now's your chance! This takes some prep time, but it is well worth it. You can make it 1 day ahead, and serve the next day.",30 mins,30 mins,1 hr,6,"1 tablespoon vegetable oil | 2 skinless, boneless chicken breast halves - boiled and shredded | ½ cup chopped onion | 1 (7 ounce) can chopped green chile peppers | 1 (1 ounce) package taco seasoning mix | ½ cup sour cream | 2 cups cottage cheese | 1 teaspoon salt | 1 pinch ground black pepper | 12 (6 inch) corn tortillas | 2 cups shredded Monterey Jack cheese | 1 (10 ounce) can red enchilada sauce",https://www.allrecipes.com/thmb/wf-1K8fmeaUlTk0MTXVg_zq6qbA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/610703-e71de50c5d6f43c29d86bed8afb704ba.jpg,30.0,30.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Ratatouille,4.6,"This ratatouille recipe is my version of the terrific French vegetable stew made with fresh tomatoes and lots of summer vegetables. It's very versatile side dish and makes a delicious vegetarian main dish, too.",15 mins,45 mins,1 hr,4,"2 tablespoons olive oil, divided | 3 cloves garlic, minced | 1 eggplant, cut into ½-inch cubes | 2 teaspoons dried parsley | salt to taste | 1 cup grated Parmesan cheese | 2 zucchini, sliced | 2 large tomatoes, chopped | 2 cups sliced fresh mushrooms | 1 large onion, sliced into rings | 1 green or red bell pepper, sliced",,15.0,45.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
"Portuguese Chourico, Beans, and Rice",4.4,"I grew up on chourico, and this dish is a Portuguese comfort food that my mom always made. I took it upon myself to replicate it with a bit more kick, but even with the changes, it reminds me of being a kid. It's such a warm and satisfying dish.",10 mins,30 mins,40 mins,2,"2 cups water | 1 cup uncooked white rice | 2 tablespoons olive oil | 1 dried chourico sausage, halved lengthwise and cut into 1/4-inch slices | ¼ Spanish onion, finely chopped | 3 cloves garlic, minced | 1 ½ cups tomato sauce | ½ teaspoon red pepper flakes | 1 teaspoon Italian seasoning | salt and pepper to taste | ½ (14.5 ounce) can fava beans, rinsed and drained",https://www.allrecipes.com/thmb/443GPTy0V67xddVsHUaYxgKPyQc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9404170-ccbb40ab5fa044819ddea111296cf475.jpg,10.0,30.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Roasted Pork Tenderloin with Fresh Plum Sauce,4.6,"This pork tenderloin with plum sauce is an easy one-pan dish. When shopping for this recipe, choose plums (or any other stone fruit) that are fairly firm, so they keep their shape after roasting. Do you know that selfish jerk that has to feel up every piece of fruit before deciding on one? This time, be that jerk.",10 mins,50 mins,1 hr,2,"1 tablespoon vegetable oil | 1 pork tenderloin | salt and ground black pepper to taste | 1 red onion, sliced | 2 shallots, sliced | 3 fresh thyme sprigs, or more to taste | 2 firm plums, pitted and each cut into 4 wedges | 1 cup water | 1 tablespoon balsamic vinegar | 1 teaspoon cold butter",,10.0,50.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Ranch Mix Saltine Crackers,4.8,This saltine cracker recipe is a great snack for ranch lovers. Easy to make and cheap.,5 mins,,3 hrs 5 mins,15,1 ½ cups vegetable oil | 1 (1 ounce) package ranch dressing mix | 1 (16 ounce) package saltine crackers,https://www.allrecipes.com/thmb/xL1ZQIF7_q08Y38HFbv2EnJATOU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/970301-a0d891349e1649aea67d3386a4d1740d.jpg,5.0,,185.0,180.0,,,
Italian Cream Cheese and Ricotta Cheesecake,4.8,"This ricotta cheesecake is my grandmother's recipe passed down to my entire family. I can't believe I'm sharing it, but everyone needs to know how to make an authentic Italian cheesecake. Our family loves it because it is creamy and not thick. It's the best!",15 mins,2 hrs,6 hrs 15 mins,8,"2 (8 ounce) packages cream cheese, softened | 1 (16 ounce) container ricotta cheese | 4 large eggs | 1 ½ cups white sugar | ½ cup butter, melted and cooled | 3 tablespoons flour | 3 tablespoons cornstarch | 1 tablespoon lemon juice | 1 teaspoon vanilla extract | 1 pint sour cream",,15.0,120.0,375.0,240.0,E,Long Wait,Wait time > 30 min
Family Beef Salisbury Steak,4.8,"This family-favorite steak recipe is quick and easy. Anyone can make this, from the seasoned long-time cook to beginning newlyweds who are just building their recipe collection. I plan on giving this to my son's future wife at her upcoming bridal shower!",15 mins,55 mins,1 hr 10 mins,5,"cooking spray | 1 ¼ pounds extra-lean ground beef | ½ cup finely chopped sweet onion | ⅓ cup Italian seasoned bread crumbs | 1 (14 ounce) can beef broth, divided | 3 tablespoons milk | ¼ teaspoon ground black pepper | ¼ cup flour, or as needed | salt and ground black pepper to taste | ¼ cup vegetable oil | 2 (10.75 ounce) cans cream of mushroom soup | ¼ teaspoon salt | ¼ teaspoon ground black pepper | 1 small sweet onion, or to taste, sliced thin",https://www.allrecipes.com/thmb/aXxjYxKfMCexgqa3-n0flAm3jEY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/239162family-beef-salisbury-steakYoly4x3-3a6ced2f684e41599a048550f5adc0ac.jpg,15.0,55.0,70.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
